agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_ipeds_count
38,I,1345,3,A,0,0,5,N,0,A,0,15477,21368,29225,219,24962,33592,48237,147,31254,45383,62508,83,886,253,126,1,1,1,1,1,1,1
38,I,1345,5,A,0,0,3,N,0,A,0,20656,28871,38176,2627,29698,39148,50406,1794,31744,44170,58952,1010,4786,3629,1742,1,1,1,1,1,1,1
38,I,1345,7,A,0,0,5,N,0,A,0,36334,44735,53803,2850,41328,50349,61063,1748,44426,53170,66128,841,3364,2139,1070,1,1,1,1,1,1,1
38,I,1346,1,A,0,0,5,N,0,A,0,21728,32163,50503,3751,29527,43984,63655,2211,39246,57829,84084,595,7182,3495,923,1,1,1,1,1,1,1
38,I,1346,2,A,0,0,5,N,0,A,0,27740,38155,51373,1777,35986,49514,65798,1138,38065,54040,73028,560,2507,1467,805,1,1,1,1,1,1,1
38,I,1346,3,A,0,0,5,N,0,A,0,25650,37489,51941,4943,31489,45075,61135,3315,36826,52883,71305,1541,8168,4755,2229,1,1,1,1,1,1,1
38,I,1348,5,A,0,0,3,N,0,A,0,44727,61255,78471,5934,61953,81305,107471,3707,74135,100204,140030,1951,9515,6895,3068,1,1,1,1,1,1,1
38,I,1348,7,A,0,0,5,N,0,A,0,53242,70132,94110,2467,70295,91539,126461,1330,81036,112939,165221,467,3853,2089,875,1,1,1,1,1,1,1
38,I,1348,8,A,0,0,5,N,0,A,0,,,,,,,,,,,,,4,2,,5,5,5,5,-1,-1,1
38,I,1348,17,A,0,0,5,N,0,A,0,57603,80068,111115,576,80311,106015,151183,301,98403,137289,186783,90,882,472,244,1,1,1,1,1,1,1
38,I,1349,5,A,0,0,3,N,0,A,0,21272,29754,39908,19263,31246,42142,54874,13040,37394,51355,69770,6850,29716,23374,11416,1,1,1,1,1,1,1
